id,kind,title,source_url,captured_at,provenance,owner_candidate,locale,freshness,rights_privacy_state,checksum,disposition,notes
record-001,institution,Laboratório de Processamento de Sinais,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,LPS leadership,pt-BR,current,public-record,sha256:8f9399357a5f2eaf86be5627c08f1eaf44e7d64f7371f277f578e02c268a184e,migrate,candidate record; facts and status require editorial owner review before publish
record-002,page,About LPS,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,2026-08-30T23:03:43Z,live-http,LPS web maintainers,pt-BR,current,public-record,sha256:3ffc3d32d0a46971db37e7406439ca68c58ffba556db7dcc56ea8aa57701a465,migrate,candidate record; facts and status require editorial owner review before publish
record-003,page,LPS visual identity,https://sites.google.com/lps.ufrj.br/lps/sobre/identidade-visual,2026-08-30T23:03:43Z,live-http,LPS communications,pt-BR,current,public-record,sha256:eb059e05ef8ab2cb8181d0fec440039c42d9227cd89f2ef0f7cd9ca187285151,migrate,candidate record; facts and status require editorial owner review before publish
record-004,collection,Faculty,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,LPS academic leadership,pt-BR,current,public-record,sha256:6270b06b00299d3ef91cd6c9f738246995e92e71e429c10eff421f794e5bbd13,migrate,candidate record; facts and status require editorial owner review before publish
record-005,collection,Projects,https://sites.google.com/lps.ufrj.br/lps/projetos,2026-08-30T23:03:43Z,live-http,LPS project owners,pt-BR,current,public-record,sha256:cff462d0d4bab3f2701e8854ae8805065e3906234e2ab587f95acba3bf6892c0,migrate,candidate record; facts and status require editorial owner review before publish
record-006,opportunity,Scholarship opportunities,https://sites.google.com/lps.ufrj.br/lps/not%C3%ADcias/oportunidades-de-bolsa,2026-08-30T23:03:43Z,live-http,LPS opportunity owner,pt-BR,current,public-record,sha256:b717661a63d041e7ead1fe9d2b603530de6e822b270c137612a0cd4bcb602e8b,migrate,candidate record; facts and status require editorial owner review before publish
record-007,person,Faculty profile: acmq,https://sites.google.com/lps.ufrj.br/acmq/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,Person or LPS academic leadership,pt-BR,current,public-record,sha256:c2c8d36f461504c3e9be3ab03ef3bc4d167a1d8d79edd354a202460d7b56822d,migrate,candidate record; facts and status require editorial owner review before publish
record-008,person,Faculty profile: caloba,https://sites.google.com/lps.ufrj.br/caloba/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,Person or LPS academic leadership,pt-BR,current,public-record,sha256:c316314857c3025d03edf5e8676af440d55ee4d4947623c36a49607af45c9e91,migrate,candidate record; facts and status require editorial owner review before publish
record-009,person,Faculty profile: jodafons,https://sites.google.com/lps.ufrj.br/jodafons/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,Person or LPS academic leadership,pt-BR,current,public-record,sha256:a7ad280643261433d0279a812ce1f500b69a1b1f175f0fd89a8776c4e0869af3,migrate,candidate record; facts and status require editorial owner review before publish
record-010,person,José Manoel de Seixas,https://sites.google.com/lps.ufrj.br/seixas/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,Person or LPS academic leadership,pt-BR,current,public-record,sha256:fa3adb8a8fa2030d63c21f76b60cae9c5ff754466175d4bf947f1c532c9fae09,migrate,candidate record; facts and status require editorial owner review before publish
record-011,person,Faculty profile: natmourajr,https://sites.google.com/lps.ufrj.br/namourajr/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,Person or LPS academic leadership,pt-BR,current,public-record,sha256:bea94b6b455e66166e586905c8e89dab4a32f4deca4803745ee80f7432028539,migrate,candidate record; facts and status require editorial owner review before publish
record-012,organization,COPPE EMBRAPII LPS profile,https://www.embrapii.coppe.ufrj.br/laboratorios/1228/lps-laboratorio-de-processamento-de-sinais,2026-08-30T23:03:43Z,institutional-profile,COPPE EMBRAPII communications,pt-BR,current,externally-maintained,sha256:7429b031d7d6c1bc9d07f522aad2de2dc5dac6405c2b82c19bad02ee695d0966,link,candidate record; facts and status require editorial owner review before publish
record-013,software-collection,LPS GitHub organization,https://github.com/lps-ufrj-br,2026-08-30T23:03:43Z,github-api,LPS GitHub organization owners,und,current,externally-maintained,sha256:63fa89bdf77e8dcaa70244ad121126e4f96801f224dbae3ad0d11fd91c4bc2eb,link,candidate record; facts and status require editorial owner review before publish
record-014,publication-collection,Legacy publication indexes,http://www.lps.ufrj.br/publications/publications.html,2002-03-02T02:32:14Z,archive-cdx,LPS publication editor,und,historical-archive-only,public-record,sha256:f21ddeb66333bc150127e99521ac0f635faccd918b6d8bc7402afcb383480b01,301,candidate record; facts and status require editorial owner review before publish
record-015,project-collection,Legacy project indexes,http://www.lps.ufrj.br/projetos/research.html,2006-07-16T02:18:11Z,archive-cdx,LPS project owners,und,historical-archive-only,public-record,sha256:7864014eaf5dff013ba0872e8eb8d92c5f50fb6476db008ef0b1fdff071575ab,301,candidate record; facts and status require editorial owner review before publish
record-016,infrastructure,Legacy infrastructure claims,https://www.embrapii.coppe.ufrj.br/laboratorios/1228/lps-laboratorio-de-processamento-de-sinais,2026-08-30T23:03:43Z,institutional-profile,LPS infrastructure owner,pt-BR,current-review-required,public-record,sha256:f6c79f56fef01178a2a6d2466c2b67f76e19da4b97372326b6931c1ae91cbb24,migrate,candidate record; facts and status require editorial owner review before publish
