id,url,normalized_url,source_url,discovered_at,provenance,owner_candidate,locale,freshness,rights_privacy_state,checksum,disposition,evidence_date,notes
url-0001,https://lps.ufrj.br/,https://lps.ufrj.br/,https://lps.ufrj.br/,2026-08-30T23:03:43Z,live-http-timeout,LPS web maintainers,pt-BR,unavailable-at-capture,public-record,sha256:8e8e0f85165b3ce857e06cc233398eb5cb43504680dc55e5b280bd182d212da2,301,2026-08-30,TCP/HTTPS timeout after 20 s; current truth not inferred
url-0002,https://www.lps.ufrj.br/,https://www.lps.ufrj.br/,https://www.lps.ufrj.br/,2026-08-30T23:03:43Z,live-http-redirect,LPS web maintainers,pt-BR,current,public-record,sha256:e810b97422947b2ac8b26b408353d9596f01c5f77ad9d9573bf0e614fae35b55,301,2026-08-30,HTTP 301 to current public Google Site
url-0003,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,LPS web maintainers,pt-BR,current,public-record,sha256:5b9806409270361960152044d40cb587cd1e88036cef4e4fee487e4018acb4c7,migrate,2026-08-30,current Google Site: home
url-0004,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,https://sites.google.com/lps.ufrj.br/lps/sobre/sobre,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,LPS web maintainers,pt-BR,current,public-record,sha256:1b00b1e361e03c34ab712f61a9011b904dcee1f2f6864635c7282a733a0d4d52,migrate,2026-08-30,current Google Site: about
url-0005,https://sites.google.com/lps.ufrj.br/lps/sobre/identidade-visual,https://sites.google.com/lps.ufrj.br/lps/sobre/identidade-visual,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,LPS web maintainers,pt-BR,current,public-record,sha256:d1251f9a32a2819837475b5af6ac6ee9a9b03d372784fb9a44894a437d98740a,migrate,2026-08-30,current Google Site: visual identity
url-0006,https://sites.google.com/lps.ufrj.br/lps/professores,https://sites.google.com/lps.ufrj.br/lps/professores,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,LPS web maintainers,pt-BR,current,public-record,sha256:c8fada6876d89909985fa5d6cc1a2757cd3f9347840373ebba94a8bd88b44f76,migrate,2026-08-30,current Google Site: faculty
url-0007,https://sites.google.com/lps.ufrj.br/lps/not%C3%ADcias/oportunidades-de-bolsa,https://sites.google.com/lps.ufrj.br/lps/not%C3%ADcias/oportunidades-de-bolsa,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,LPS web maintainers,pt-BR,current,public-record,sha256:42d6a86048a255a5afa26026e905704b3febaf638fbe3a928d9f12eefa63ed97,migrate,2026-08-30,current Google Site: scholarship opportunities
url-0008,https://sites.google.com/lps.ufrj.br/lps/projetos,https://sites.google.com/lps.ufrj.br/lps/projetos,https://sites.google.com/lps.ufrj.br/lps/in%C3%ADcio,2026-08-30T23:03:43Z,live-http,LPS web maintainers,pt-BR,current,public-record,sha256:a3b5c9cae40c0e3e2c67aac3a3489e021f514d11318d48801a1f800397f89dca,migrate,2026-08-30,current Google Site: projects
url-0009,https://sites.google.com/lps.ufrj.br/caloba/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/caloba/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,caloba profile owner,pt-BR,current,public-record,sha256:e012d3f2a18c3ce077b756bff7a7567baecd6f3655595595af05effe114247e5,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0010,https://sites.google.com/lps.ufrj.br/caloba/ensino,https://sites.google.com/lps.ufrj.br/caloba/ensino,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,caloba profile owner,pt-BR,current,public-record,sha256:1162fa5d945845c6ef920e30714df59994c6d31844d04ac4d09ff3c75bea2013,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0011,https://sites.google.com/lps.ufrj.br/caloba/ensino/cpe721-redes-neurais-feedforward,https://sites.google.com/lps.ufrj.br/caloba/ensino/cpe721-redes-neurais-feedforward,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,caloba profile owner,pt-BR,current,public-record,sha256:36053e372ba7ffe3cc02971e133e1728c233091383b62549f64985c40c530602,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0012,https://sites.google.com/lps.ufrj.br/caloba/ensino/cpe722-redes-neurais-n%C3%A3o-supervisionadas-e-agrupamentos,https://sites.google.com/lps.ufrj.br/caloba/ensino/cpe722-redes-neurais-n%C3%A3o-supervisionadas-e-agrupamentos,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,caloba profile owner,pt-BR,current,public-record,sha256:e21fbdb2d2439fddc78c00f9032c14ecef25ea25aacc20880f599282efadb8eb,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0013,https://sites.google.com/lps.ufrj.br/acmq/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/acmq/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,acmq profile owner,pt-BR,current,public-record,sha256:1da0c8b777bb45bf096f2ffdeb527d3b93bf8bde16ae290adfa1696ee1f680ff,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
url-0014,https://sites.google.com/lps.ufrj.br/jodafons/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/jodafons/in%C3%ADcio,https://sites.google.com/lps.ufrj.br/lps/professores,2026-08-30T23:03:43Z,live-http,jodafons profile owner,pt-BR,current,public-record,sha256:b8518d17e16ec254a90e50e2404fe5b2da328aeb4888373f4c2d24e7c507caa9,link,2026-08-30,public faculty/staff subsite linked from current LPS surface
